geoid,intptlat,intptlon,geometry
10100US060730172002032,32.9662035,-117.2629248,POINT (-117.2629248242769 32.96620346522609)
10100US060730172002031,32.9632878,-117.2572376,POINT (-117.2572375697888 32.9632878110847)
10100US060730172002030,32.9564083,-117.2562117,POINT (-117.2562117249511 32.95640825860867)
10100US060730172002025,32.963945,-117.259804,POINT (-117.2598041680602 32.96394516194594)
10100US060730172002037,32.9692269,-117.2647823,POINT (-117.2647823007676 32.96922690471042)
10100US060730172002012,32.9696916,-117.2667525,POINT (-117.2667525304214 32.9696916844731)
10100US060730172002014,32.9694074,-117.2676687,POINT (-117.2676687256051 32.96940741972573)
10100US060730172002017,32.9687623,-117.2675249,POINT (-117.2675248886368 32.96876229495158)
10100US060730172002019,32.9710753,-117.2653847,POINT (-117.2653847510227 32.97107529058739)
10100US060730172002034,32.9692985,-117.261283,POINT (-117.2612829797316 32.96929853219053)
10100US060730172002007,32.9730541,-117.2566106,POINT (-117.2566105809225 32.97305414568162)
10100US060730173052005,33.0097698,-117.2399513,POINT (-117.2399513040975 33.00976977968203)
10100US060730172002001,32.9796132,-117.2688695,POINT (-117.2688694918945 32.97961324214373)
10100US060730171063025,33.0298329,-117.2153532,POINT (-117.2153532441562 33.02983291016881)
10100US060730172002000,32.9797763,-117.2592648,POINT (-117.2614431797013 32.97977061215463)
10100US060730171061046,32.9854682,-117.2207694,POINT (-117.2207694257685 32.98546824094372)
10100US060730171061036,33.0072991,-117.2301592,POINT (-117.2301593141073 33.00729908483439)
10100US060730038001057,32.6799035,-117.1208407,POINT (-117.1208407087758 32.67990349314632)
10100US060730095051034,32.8341516,-117.0427926,POINT (-117.0427926139856 32.83415154032129)
10100US060730029051015,32.7677947,-117.0526352,POINT (-117.0526351950237 32.76779474194081)
10100US060730031052009,32.7051334,-117.0308332,POINT (-117.0308331552349 32.70513336531689)
10100US060730030033008,32.7193386,-117.0507224,POINT (-117.0507223772046 32.71933855445403)
10100US060730029033010,32.7452828,-117.0510004,POINT (-117.0510003907736 32.74528281855108)
10100US060730029031000,32.7476905,-117.0560515,POINT (-117.0577716290628 32.75009575530559)
10100US060730029022033,32.7570689,-117.0647526,POINT (-117.064752602305 32.75706893199907)
10100US060730029021027,32.7603724,-117.0543929,POINT (-117.0543929419469 32.76037244624545)
10100US060730029021011,32.7612175,-117.0606753,POINT (-117.0606753280859 32.76121749403389)
10100US060730101091017,32.551151,-117.0746334,POINT (-117.0746334128555 32.55115093268449)
10100US060730101091005,32.5637973,-117.0795473,POINT (-117.0813541404163 32.56351154923229)
10100US060730101041000,32.56794,-117.0931042,POINT (-117.0931042510084 32.56794000057979)
10100US060730101042008,32.5737575,-117.0991935,POINT (-117.0991934816926 32.57375754082771)
10100US060730101033027,32.5783208,-117.1033523,POINT (-117.1033523210402 32.5783208322017)
10100US060730062001023,32.7253012,-117.1972746,POINT (-117.1972746114791 32.72530124101605)
10100US060730061002024,32.7315165,-117.17413,POINT (-117.1741299572077 32.73151648113212)
10100US060730061002016,32.7346208,-117.1730427,POINT (-117.1730427229546 32.73462081504261)
10100US060730061002000,32.7383883,-117.177544,POINT (-117.177544004441 32.73838834907888)
10100US060730060003002,32.7398758,-117.1678031,POINT (-117.1678030671703 32.73987582881194)
10100US060730033052001,32.7000889,-117.0888597,POINT (-117.0888597177887 32.70008886545509)
10100US060730032012009,32.6868061,-117.0553806,POINT (-117.0553805802997 32.68680612226025)
10100US060730031142006,32.6999003,-117.0521117,POINT (-117.0521116643623 32.69990026398315)
10100US060730031122008,32.7080298,-117.063832,POINT (-117.0638320006953 32.70802978691907)
10100US060730106011013,32.6241452,-117.1326288,POINT (-117.132628826656 32.62414520896079)
10100US060730105021022,32.5845485,-117.1099223,POINT (-117.1099223292036 32.58454846904141)
10100US060730103003006,32.5799043,-117.1133786,POINT (-117.1133786494444 32.579904310423)
10100US060730101112008,32.5659142,-117.0716027,POINT (-117.0716027231826 32.56591414827665)
10100US060730065002024,32.7565156,-117.1995192,POINT (-117.1995191678121 32.75651558292159)
10100US060730214001086,32.7258685,-117.2163603,POINT (-117.2163602807991 32.72586850498547)
10100US060730214001015,32.7351023,-117.2172651,POINT (-117.2172651117347 32.73510225820662)
10100US060730214001073,32.7287306,-117.2161469,POINT (-117.2161469274467 32.72873061702311)
10100US060730062001022,32.7291229,-117.2050015,POINT (-117.2050014848505 32.72912285217862)
10100US060730062001020,32.7288199,-117.1971124,POINT (-117.200533029584 32.7270502900319)
10100US060730039023008,32.6951717,-117.1305492,POINT (-117.1305491861578 32.69517173648047)
10100US060730038001015,32.6916394,-117.1305274,POINT (-117.1305273662945 32.6916393848366)
10100US060730038001001,32.6925503,-117.1305323,POINT (-117.1305322674507 32.69255033611628)
10100US060730034013000,32.7208181,-117.0857733,POINT (-117.0857733218613 32.7208180543827)
10100US060730056002070,32.7210847,-117.1411354,POINT (-117.1411354250578 32.72108471936721)
10100US060730059003002,32.7311532,-117.1676477,POINT (-117.1676476814018 32.73115320750981)
10100US060730029052005,32.7700962,-117.0437779,POINT (-117.0437778672826 32.77009619126772)
10100US060730029042011,32.7688742,-117.0661676,POINT (-117.0661675563219 32.7688742035147)
10100US060730029041003,32.7770391,-117.0604747,POINT (-117.0604747106244 32.7770391043025)
10100US060730027102003,32.7455546,-117.0852105,POINT (-117.0852105304773 32.74555459277322)
10100US060730026022004,32.7393111,-117.0962975,POINT (-117.0962974765049 32.73931114715865)
10100US060730026011000,32.7449019,-117.0968918,POINT (-117.0968918343944 32.74490194373239)
10100US060730028042002,32.7653013,-117.0767175,POINT (-117.0767174821194 32.76530130196945)
10100US060730028033005,32.7648906,-117.0839435,POINT (-117.0839434527799 32.76489064952121)
10100US060730028031014,32.7575486,-117.0830876,POINT (-117.0830875658927 32.75754861417767)
10100US060730028012016,32.7709728,-117.0741401,POINT (-117.0741400744565 32.77097281694542)
10100US060730027101010,32.7462129,-117.0831247,POINT (-117.0831247046988 32.74621293808316)
10100US060730027074000,32.7522108,-117.0903676,POINT (-117.0903676110506 32.75221084518864)
10100US060730101032007,32.5813315,-117.0959252,POINT (-117.0959251907915 32.58133151186819)
10100US060730099021001,32.7023038,-117.1776925,POINT (-117.1776925526055 32.70230381250403)
10100US060730053003022,32.7140032,-117.162445,POINT (-117.1624449659675 32.71400317669742)
10100US060730099021008,32.7080754,-117.1692825,POINT (-117.1692824682902 32.70807542503249)
10100US060730200132000,33.1242787,-117.2322216,POINT (-117.2322215935336 33.12427879276074)
10100US060730099011013,32.7002737,-117.2433023,POINT (-117.2433022908448 32.70027367631777)
10100US060730003003019,32.741294,-117.1589494,POINT (-117.1589494235479 32.74129401890223)
10100US060730053003018,32.716223,-117.1660486,POINT (-117.1660485757168 32.71622295532026)
10100US060730053003017,32.7172482,-117.1660471,POINT (-117.1660471188573 32.71724822059016)
10100US060730053003016,32.7172533,-117.1651644,POINT (-117.1651643762558 32.71725333676021)
10100US060730053003013,32.7162299,-117.1633669,POINT (-117.1633669198483 32.71622988213575)
10100US060730053003012,32.7162268,-117.162455,POINT (-117.1624550495494 32.71622675262059)
10100US060730053003011,32.7162309,-117.1615435,POINT (-117.1615435392285 32.71623086375739)
10100US060730053003010,32.7172809,-117.1615589,POINT (-117.1615588518123 32.71728087898725)
10100US060730053003009,32.7183237,-117.1615651,POINT (-117.1615650890988 32.71832366174513)
10100US060730053003008,32.7178931,-117.163199,POINT (-117.1631990339167 32.71789312943653)
10100US060730053003006,32.7182937,-117.1660446,POINT (-117.1660446361482 32.71829370409863)
10100US060730053003023,32.7152127,-117.1624463,POINT (-117.162446344122 32.71521271151467)
10100US060730053002018,32.7120432,-117.1578598,POINT (-117.1578598004384 32.71204315710393)
10100US060730058001050,32.7203847,-117.1705509,POINT (-117.1705508830251 32.7203846916417)
10100US060730058001060,32.720387,-117.1696232,POINT (-117.1696232186669 32.72038701602221)
10100US060730058001059,32.7203899,-117.1687213,POINT (-117.168721348651 32.72038989870668)
10100US060730058001058,32.7203932,-117.1678349,POINT (-117.167834913135 32.72039321283277)
10100US060730058001055,32.7214259,-117.1678362,POINT (-117.1678361860412 32.72142585592)
10100US060730058001056,32.7214272,-117.1669387,POINT (-117.1669387086786 32.72142724425199)
10100US060730058001048,32.7224672,-117.1687309,POINT (-117.1687308932065 32.72246716564489)
10100US060730058001054,32.7214216,-117.1687251,POINT (-117.1687250641174 32.72142160555678)
10100US060730058001051,32.7214162,-117.1704544,POINT (-117.1704543794418 32.72141615315504)
10100US060730058001053,32.7214192,-117.1695241,POINT (-117.1695240643133 32.72141915895789)
10100US060730058001013,32.7286996,-117.1709198,POINT (-117.1709197724104 32.7286995513236)
10100US060730057002015,32.7229145,-117.1615912,POINT (-117.1615911677072 32.72291450276233)
10100US060730057002013,32.7234839,-117.162494,POINT (-117.1624940337479 32.72348386803792)
10100US060730052001034,32.7120829,-117.1490041,POINT (-117.1490041010255 32.71208286560702)
10100US060730167011056,32.8257743,-116.949979,POINT (-116.9499789783058 32.82577432784056)
10100US060730165024008,32.8219647,-116.9473487,POINT (-116.9473486676641 32.82196465231843)
10100US060730165022009,32.8094598,-116.9371914,POINT (-116.9371914434562 32.80945979417145)
10100US060730208061011,33.0458112,-116.8775465,POINT (-116.877546472396 33.04581121506102)
10100US060730208061002,33.0566728,-116.8820914,POINT (-116.8820913560349 33.05667278345187)
10100US060730208051000,33.0337017,-116.8808811,POINT (-116.8808811447657 33.03370173771055)
10100US060730208052048,33.0276835,-116.8892703,POINT (-116.8892702627893 33.02768347935387)
10100US060730208052043,33.0316728,-116.8917537,POINT (-116.8917536535251 33.03167280764159)
10100US060730189041012,33.3772905,-117.2541062,POINT (-117.2541061676222 33.37729049513281)
10100US060730208052014,33.0361766,-116.8835763,POINT (-116.8835762562139 33.0361766038744)
10100US060730208052017,33.0340026,-116.8895156,POINT (-116.8895156380582 33.03400260497678)
10100US060730208052015,33.0362915,-116.8897155,POINT (-116.8897155169394 33.03629145182546)
10100US060730208012003,33.0814193,-116.915177,POINT (-116.9138602426299 33.08288318375111)
10100US060730208012013,33.0668525,-116.9164426,POINT (-116.9164521281601 33.06684975694648)
10100US060730212061004,32.8548704,-116.7639936,POINT (-116.7639936307351 32.85487026267322)
10100US060730212061046,32.8482483,-116.7650051,POINT (-116.7650051281039 32.84824826344359)
10100US060730212053008,32.8358777,-116.7614533,POINT (-116.7614533371274 32.8358777143788)
10100US060730212042024,32.826137,-116.7519461,POINT (-116.7519460884198 32.82613702775133)
10100US060730155012049,32.8242141,-116.8680543,POINT (-116.8680543131462 32.82421405093511)
10100US060730155013000,32.8138458,-116.8628634,POINT (-116.8628633641427 32.81384580449233)
10100US060730178131011,33.0969463,-117.3078021,POINT (-117.3116656724268 33.0969591679301)
10100US060730178131007,33.09523,-117.3073063,POINT (-117.307595103464 33.094530382834)
10100US060730178131019,33.1004441,-117.312483,POINT (-117.3124830291436 33.10044413278455)
10100US060730210001136,33.1380012,-116.1321216,POINT (-116.1321216262951 33.13800115813578)
10100US060730178131018,33.0949154,-117.3100007,POINT (-117.3100007145783 33.09491536704172)
10100US060730178131016,33.0991861,-117.3100135,POINT (-117.3100135003353 33.09918609909141)
10100US060730178131030,33.1008562,-117.3137133,POINT (-117.3137133386403 33.1008561563776)
10100US060730188012024,33.3562145,-117.2174451,POINT (-117.217445085732 33.3562144872763)
10100US060730188012022,33.3607995,-117.2155313,POINT (-117.2155312997938 33.36079950486027)
10100US060730188012011,33.3617113,-117.2217443,POINT (-117.221744260869 33.36171129721116)
10100US060730188012007,33.364137,-117.220619,POINT (-117.220618962024 33.36413697442259)
10100US060730188012008,33.3646709,-117.2218031,POINT (-117.2218031219255 33.36467085135461)
10100US060730188012009,33.3645362,-117.2240357,POINT (-117.2240357039053 33.36453621344621)
10100US060730188012006,33.3666687,-117.2256812,POINT (-117.2256811501847 33.36666872429997)
10100US060730190012000,33.4223822,-117.1626536,POINT (-117.1626530568179 33.42238237216216)
10100US060730188012002,33.3678081,-117.2158309,POINT (-117.215830946343 33.36780814701427)
10100US060730188011019,33.3248653,-117.2494258,POINT (-117.2494258040849 33.32486531288344)
10100US060730188011028,33.3236405,-117.2437581,POINT (-117.2428882898272 33.3252368083249)
10100US060730188011024,33.3262357,-117.2370372,POINT (-117.2370372550458 33.32623566639305)
10100US060730188011029,33.3216145,-117.2397835,POINT (-117.2397835498384 33.32161454049549)
10100US060730188011027,33.320472,-117.2397821,POINT (-117.2397820966204 33.32047201921383)
10100US060730030012000,32.7243405,-117.0753004,POINT (-117.0753003913106 32.7243405089417)
10100US060730030011005,32.7171359,-117.0745013,POINT (-117.0745012961914 32.71713590926822)
10100US060730030011004,32.7178269,-117.0729552,POINT (-117.0729552276589 32.71782688126876)
10100US060730030011009,32.7189675,-117.0671699,POINT (-117.0671699272091 32.71896753552451)
10100US060730030011008,32.7207764,-117.0670038,POINT (-117.0670037851398 32.72077641414845)
10100US060730030011007,32.7221934,-117.0672498,POINT (-117.0672498000272 32.72219336965584)
10100US060730030011002,32.7237452,-117.0702579,POINT (-117.0702579327727 32.72374516119721)
10100US060730030011001,32.7225923,-117.0718146,POINT (-117.0718145727336 32.72259232895902)
10100US060730027121008,32.7267629,-117.072394,POINT (-117.072393979481 32.7267629090188)
10100US060730027121006,32.7315837,-117.0718821,POINT (-117.071882145638 32.7315837617458)
10100US060730027121009,32.7286095,-117.074347,POINT (-117.0743469675127 32.72860954835372)
10100US060730027121000,32.7363424,-117.0567165,POINT (-117.056716524583 32.73634238991431)
10100US060730027123004,32.7188111,-117.0839903,POINT (-117.0839902866037 32.71881114648932)
10100US060730170521003,33.0009682,-117.0757244,POINT (-117.0757243857589 33.00096820766627)
10100US060730170341001,32.9980463,-117.0866506,POINT (-117.08665059726 32.99804627335691)
10100US060730170561006,32.9797406,-117.0854218,POINT (-117.0854218334101 32.97974059198479)
10100US060730170561007,32.9803398,-117.0842088,POINT (-117.0842087780433 32.98033982192316)
10100US060730203061080,33.1220967,-117.1308242,POINT (-117.1308241868868 33.12209667493604)
10100US060730170561016,32.966188,-117.0939733,POINT (-117.0939733346131 32.96618801637872)
10100US060730170392009,32.9607794,-117.0974169,POINT (-117.0974168435281 32.96077946180463)
10100US060730101122001,32.5672533,-117.0756365,POINT (-117.0756364994189 32.56725332366976)
10100US060730170392008,32.9591554,-117.0989392,POINT (-117.0989390067186 32.95915549104405)
10100US060730170392007,32.9646891,-117.0953509,POINT (-117.0953508634763 32.96468909956534)
10100US060730170423003,32.9454649,-117.1047529,POINT (-117.1047528588116 32.94546490532166)
10100US060730170423060,32.9444162,-117.1031788,POINT (-117.1031787711013 32.94441622825843)
10100US060730170423015,32.943645,-117.1026208,POINT (-117.1033329385812 32.94417368949439)
10100US060730171071001,33.0679015,-117.2461108,POINT (-117.246110849599 33.06790153941311)
10100US060730083273003,32.9696618,-117.2428844,POINT (-117.2428844558824 32.96966231262732)
10100US060730083291005,32.9485909,-117.2434078,POINT (-117.2434077827974 32.94859087224876)
10100US060730083291006,32.9343956,-117.2414063,POINT (-117.242034573382 32.94007989097223)
10100US060730094001216,32.837744,-117.158417,POINT (-117.1584169744954 32.83774395643847)
10100US060730032072019,32.6721492,-117.0213015,POINT (-117.0213014343868 32.67214924144818)
10100US060730134101011,32.6930167,-116.9820124,POINT (-116.9820123424402 32.69301665245115)
10100US060730134101009,32.6917727,-116.9859115,POINT (-116.9859115091373 32.69177266463559)
10100US060730134101053,32.6913189,-116.986303,POINT (-116.9863030199615 32.69131893858265)
10100US060730134101056,32.690475,-116.989008,POINT (-116.9891962808577 32.69051397195973)
10100US060730134101058,32.6873793,-116.9937833,POINT (-116.9937833469364 32.68737927611851)
10100US060730134101052,32.687085,-116.9964799,POINT (-116.996479886569 32.68708503162134)
10100US060730134101050,32.6846924,-116.9968525,POINT (-116.996852551943 32.68469239020804)
10100US060730134101045,32.6855721,-117.0010541,POINT (-117.0010540737344 32.68557214083331)
10100US060730134171002,32.6645552,-116.97968,POINT (-116.9796800355971 32.66455517764296)
10100US060730134171001,32.663056,-116.9752169,POINT (-116.9752168624766 32.66305603829148)
10100US060730134171000,32.6621039,-116.9762711,POINT (-116.9762711079957 32.66210393678683)
10100US060730134101001,32.7055339,-116.9677074,POINT (-116.9677074414441 32.70553391351608)
10100US060730134101019,32.691384,-116.9950842,POINT (-116.9950840889093 32.69138396789221)
10100US060730201032029,33.1581451,-117.0662556,POINT (-117.0662556057241 33.15814513020668)
10100US060730201031120,33.1694947,-117.02616,POINT (-117.0261600188352 33.16949467633148)
10100US060730201031019,33.2064413,-117.0389022,POINT (-117.0389021516488 33.20644139158939)
10100US060730201033068,33.1704967,-117.095941,POINT (-117.0959410350887 33.1704966813432)
10100US060730201033041,33.1791617,-117.1067832,POINT (-117.1067831878599 33.17916169880921)
10100US060730200252017,33.1404426,-117.1312791,POINT (-117.131279112325 33.14044263585284)
10100US060730200242005,33.1436507,-117.1258116,POINT (-117.1258116438187 33.14365067347133)
10100US060730202091018,33.1415493,-117.0461313,POINT (-117.0461313016432 33.14154933847207)
10100US060730200232000,33.1563892,-117.1304213,POINT (-117.1304213415964 33.15638915909857)
10100US060730200222006,33.1603975,-117.1475654,POINT (-117.1475654174107 33.16039746981287)
10100US060730200212017,33.1446289,-117.1711743,POINT (-117.1711743044237 33.14462890283372)
10100US060730200202000,33.1622053,-117.1817728,POINT (-117.1817728487957 33.16220533680499)
10100US060730209032005,33.2285308,-116.8354906,POINT (-116.8354893068983 33.22853350580177)
10100US060730209032096,33.208515,-116.8228577,POINT (-116.8228577984706 33.20851487130448)
10100US060730209032065,33.1841104,-116.7779805,POINT (-116.7779804655249 33.18411040723442)
10100US060730209032058,33.1827187,-116.7727815,POINT (-116.7727815444196 33.18271867064251)
10100US060730209032042,33.2087147,-116.7313904,POINT (-116.7313904082786 33.20871466227953)
10100US060730209032056,33.1960649,-116.7449062,POINT (-116.7449062492242 33.19606483459548)
10100US060730209032071,33.1933488,-116.7843128,POINT (-116.7843128575253 33.1933488972799)
10100US060730209032070,33.2023425,-116.788334,POINT (-116.7881595931784 33.20129524249644)
10100US060730209032060,33.1988609,-116.7772799,POINT (-116.7772798673598 33.19886087146143)
10100US060730209032046,33.198673,-116.7387337,POINT (-116.7387336933873 33.19867296975414)
10100US060730209032045,33.2083957,-116.7474389,POINT (-116.7474388860053 33.20839571904304)
10100US060730200221004,33.1766023,-117.1562339,POINT (-117.1562338246955 33.17660231170883)
10100US060730200221001,33.1781488,-117.1497941,POINT (-117.1497940906537 33.17814881155393)
10100US060730200221000,33.1770815,-117.1473794,POINT (-117.1473794101765 33.17708147119992)
10100US060730200212006,33.1435779,-117.163804,POINT (-117.1638040274738 33.14357794268508)
10100US060730200212015,33.1430404,-117.164651,POINT (-117.1646509692097 33.14304036863091)
10100US060730187001422,33.3792307,-117.2603135,POINT (-117.2603135179974 33.37923071281172)
10100US060730200212010,33.1447718,-117.169351,POINT (-117.169350959141 33.14477176515038)
10100US060730200212009,33.1446783,-117.1677023,POINT (-117.1677022978174 33.14467828208109)
10100US060730200212008,33.1441117,-117.1663928,POINT (-117.1663927743479 33.14411174267867)
10100US060730200212004,33.1448779,-117.1663268,POINT (-117.1663268004019 33.14487787710367)
10100US060730187001424,33.3744864,-117.2654421,POINT (-117.2654419847527 33.37448652194528)
10100US060730189051005,33.3725311,-117.2557589,POINT (-117.2557588714478 33.37253105966791)
10100US060730200211002,33.147666,-117.1629797,POINT (-117.162979679618 33.14766602066666)
10100US060730209033324,33.0950858,-116.6359816,POINT (-116.6359815515469 33.09508577298718)
10100US060730209033331,33.0966622,-116.6144422,POINT (-116.6144421879752 33.09666216680275)
10100US060730209033329,33.0998272,-116.6148307,POINT (-116.6148307270006 33.09982725791777)
10100US060730209033328,33.1012567,-116.6139058,POINT (-116.613905769141 33.10125665939776)
10100US060730027123002,32.721102,-117.0816516,POINT (-117.0816515188008 32.72110197325485)
